Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
The Sims: Makin' Magic,2003.0,Simulation,Electronic Arts,1.03,0.8,0.0,0.09,1.92,80.0,22.0,8.6,31.0,Maxis,T
World of Warcraft: Mists of Pandaria,2012.0,Role-Playing,Activision,0.84,0.76,0.0,0.22,1.82,82.0,42.0,4.8,1265.0,Blizzard Entertainment,T
The Sims: Hot Date,2001.0,Simulation,Electronic Arts,1.81,0.0,0.0,0.0,1.82,85.0,17.0,7.9,70.0,Maxis,T
Call of Duty: Modern Warfare 3,2011.0,Shooter,Activision,0.41,0.98,0.0,0.32,1.72,78.0,26.0,2.5,5664.0,"Infinity Ward, Sledgehammer Games",M
The Sims 3: Late Night Expansion Pack,2010.0,Simulation,Electronic Arts,0.59,0.87,0.0,0.23,1.7,74.0,17.0,5.3,77.0,The Sims Studio,T
Sid Meier's Civilization V,2010.0,Strategy,Take-Two Interactive,0.98,0.52,0.0,0.17,1.68,90.0,70.0,7.9,2280.0,Firaxis Games,E10+
The Sims: Superstar,2003.0,Simulation,Electronic Arts,1.67,0.0,0.0,0.0,1.68,79.0,20.0,8.2,25.0,Maxis,T
StarCraft II: Heart of the Swarm,2013.0,Strategy,Activision,0.83,0.66,0.0,0.18,1.67,86.0,68.0,7.9,1346.0,Blizzard Entertainment,T
Call of Duty: Black Ops,,Shooter,Activision,0.58,0.81,0.0,0.23,1.63,81.0,29.0,5.2,1651.0,Treyarch,M
Diablo,1996.0,Role-Playing,Activision,0.01,1.58,0.0,0.0,1.59,94.0,12.0,8.7,850.0,Blizzard Entertainment,M
Command & Conquer: Tiberian Sun,1999.0,Strategy,Westwood Studios,1.55,0.0,0.0,0.0,1.55,,,,,,
Warcraft III: The Frozen Throne,2003.0,Strategy,Activision,0.58,0.87,0.0,0.09,1.54,88.0,23.0,9.0,713.0,Blizzard Entertainment,T
Call of Duty: Black Ops II,2012.0,Shooter,Activision,0.64,0.69,0.0,0.19,1.53,74.0,11.0,4.2,1635.0,Treyarch,M
Final Fantasy XIV: A Realm Reborn,2010.0,Role-Playing,Square Enix,0.88,0.48,0.0,0.17,1.52,,,,,,
Football Manager 2012,2011.0,Sports,Sega,0.02,1.16,0.0,0.33,1.51,84.0,45.0,8.0,172.0,Sports Interactive,E
Anno 2070,2011.0,Strategy,Ubisoft,0.0,1.13,0.0,0.29,1.43,83.0,33.0,7.0,493.0,"Blue Byte, Related Designs",T
SimCity (2013),2013.0,Simulation,Electronic Arts,0.48,0.77,0.0,0.17,1.42,64.0,75.0,2.2,4572.0,Maxis,E10+
Battlefield 4,2013.0,Shooter,Electronic Arts,0.39,0.87,0.0,0.1,1.35,81.0,52.0,6.0,3517.0,EA DICE,M
Command & Conquer: Red Alert 2,2000.0,Strategy,Electronic Arts,1.32,0.02,0.0,0.0,1.34,,,,,,
World of Warcraft: Wrath of the Lich King,2008.0,Role-Playing,Activision,0.01,0.13,0.0,1.18,1.32,91.0,47.0,7.5,930.0,Blizzard Entertainment,T
Fallout 4,2015.0,Role-Playing,Bethesda Softworks,0.51,0.67,0.0,0.1,1.29,84.0,38.0,5.4,7512.0,Bethesda Game Studios,M
The Sims 2: Nightlife,2005.0,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27,76.0,31.0,6.6,71.0,Maxis,T
Football Manager 2011,2010.0,Sports,Sega,0.0,1.01,0.0,0.25,1.26,85.0,23.0,8.4,77.0,Sports Interactive,E
Championship Manager 03/04,2003.0,Sports,Eidos Interactive,0.0,1.15,0.0,0.11,1.26,,,,,,
RollerCoaster Tycoon 2,2002.0,Strategy,Atari,1.19,0.05,0.0,0.0,1.25,74.0,22.0,8.5,135.0,Chris Sawyer,E
Farming Simulator 2015,2014.0,Simulation,Focus Home Interactive,0.08,1.04,0.0,0.07,1.2,,,,,,
Grand Theft Auto V,2015.0,Action,Take-Two Interactive,0.39,0.69,0.0,0.09,1.17,96.0,57.0,7.9,3756.0,Rockstar North,M
Fallout: New Vegas,2010.0,Role-Playing,Bethesda Softworks,0.59,0.45,0.0,0.14,1.17,84.0,39.0,8.6,2754.0,Obsidian Entertainment,M
Spore,2008.0,Strategy,Electronic Arts,0.03,1.06,0.0,0.08,1.17,84.0,75.0,5.3,1711.0,Maxis,E10+
Worldwide Soccer Manager 2009,2008.0,Simulation,Sega,0.0,1.14,0.0,0.01,1.15,83.0,29.0,8.1,30.0,Sports Interactive,E
Football Manager 2013,2012.0,Sports,Sega,0.0,0.95,0.0,0.21,1.15,86.0,37.0,6.7,228.0,Sports Interactive,
Call of Duty 4: Modern Warfare,2007.0,Shooter,Activision,0.0,1.12,0.0,0.03,1.15,92.0,40.0,8.5,2360.0,Infinity Ward,M
Worldwide Soccer Manager 2008,2007.0,Sports,Russel,0.0,1.12,0.0,0.0,1.12,86.0,15.0,8.0,19.0,Sports Interactive,E
Empire: Total War,2009.0,Strategy,Sega,0.01,0.97,0.0,0.1,1.08,90.0,62.0,6.9,2981.0,Creative Assembly,T
Championship Manager 99/00,1999.0,Sports,Eidos Interactive,0.0,0.98,0.0,0.09,1.07,,,,,,
Diablo II: Lord of Destruction,2001.0,Role-Playing,Vivendi Games,1.03,0.02,0.0,0.0,1.06,87.0,21.0,9.1,639.0,Blizzard North,M
Tomb Raider,1996.0,Action,Eidos Interactive,0.96,0.07,0.0,0.0,1.03,86.0,18.0,8.5,3552.0,"Crystal Dynamics, Nixxes Software",M
Championship Manager 3,2003.0,Sports,Eidos Interactive,0.0,0.93,0.0,0.08,1.01,,,,,,
Fallout 3,2008.0,Role-Playing,Bethesda Softworks,0.02,0.88,0.0,0.08,0.98,91.0,48.0,7.9,3450.0,Bethesda Game Studios,M
Grand Theft Auto: San Andreas,2005.0,Action,Take-Two Interactive,0.0,0.93,0.0,0.04,0.97,93.0,47.0,8.9,1841.0,Rockstar North,M
Mass Effect 3,2012.0,Role-Playing,Electronic Arts,0.4,0.44,0.0,0.12,0.97,89.0,23.0,5.5,5926.0,BioWare,M
Far Cry 3,2012.0,Shooter,Ubisoft,0.22,0.62,0.0,0.12,0.96,88.0,43.0,8.2,3183.0,Ubisoft Montreal,M
Farming Simulator 2013,2012.0,Simulation,Focus Home Interactive,0.0,0.81,0.0,0.15,0.96,65.0,12.0,7.5,111.0,Giants Software,E
The Witcher 2: Assassins of Kings,2011.0,Action,Namco Bandai Games,0.25,0.56,0.0,0.14,0.96,88.0,76.0,8.5,4378.0,CD Projekt Red Studio,M
Assassin's Creed III,2012.0,Action,Ubisoft,0.28,0.53,0.0,0.12,0.93,80.0,21.0,6.2,1489.0,Ubisoft,M
Borderlands 2,2012.0,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.1,0.93,89.0,38.0,8.2,2482.0,Gearbox Software,M
Assassin's Creed,2008.0,Adventure,Ubisoft,0.01,0.83,0.0,0.07,0.91,,,,,,
The Elder Scrolls Online,2014.0,Role-Playing,Bethesda Softworks,0.32,0.51,0.0,0.07,0.9,71.0,64.0,5.7,2421.0,ZeniMax Media,M
Call of Duty: Modern Warfare 2,2009.0,Shooter,Activision,0.01,0.79,0.0,0.09,0.88,86.0,40.0,4.2,6430.0,Infinity Ward,M
Grand Theft Auto IV,2008.0,Action,Take-Two Interactive,0.01,0.79,0.0,0.07,0.88,90.0,40.0,6.6,2299.0,Rockstar Toronto,M
The 7th Guest,1992.0,Adventure,Virgin Interactive,0.02,0.77,0.0,0.0,0.78,,,,,Trilobyte,T
Portal 2,2011.0,Shooter,Valve Software,0.33,0.32,0.0,0.1,0.76,95.0,52.0,8.8,5999.0,Valve Software,E10+
Assassin's Creed: Revelations,2011.0,Action,Ubisoft,0.14,0.48,0.0,0.12,0.74,80.0,20.0,7.4,771.0,Ubisoft Montreal,M
Crysis 2,2011.0,Action,Electronic Arts,0.16,0.45,0.0,0.13,0.74,86.0,42.0,6.8,1594.0,Crytek,M
Dragon Age: Inquisition,2014.0,Role-Playing,Electronic Arts,0.33,0.34,0.0,0.06,0.73,85.0,45.0,5.9,3926.0,BioWare,M
Total War: Rome II,2013.0,Strategy,Sega,0.12,0.53,0.0,0.07,0.72,76.0,71.0,4.2,3742.0,Creative Assembly,T
The Witcher 3: Wild Hunt,2015.0,Role-Playing,Namco Bandai Games,0.21,0.46,0.0,0.05,0.72,93.0,32.0,9.3,10665.0,CD Projekt Red Studio,M
Battlefield: Bad Company 2,2010.0,Shooter,Electronic Arts,0.19,0.53,0.0,0.0,0.72,87.0,46.0,8.3,1467.0,EA DICE,M
XCOM: Enemy Unknown,2012.0,Strategy,Take-Two Interactive,0.27,0.36,0.0,0.08,0.71,89.0,57.0,8.2,2235.0,Firaxis Games,M
Crysis,2007.0,Shooter,Electronic Arts,0.0,0.69,0.0,0.02,0.71,91.0,56.0,8.0,1970.0,Crytek,M
Call of Duty: Ghosts,2013.0,Shooter,Activision,0.23,0.41,0.0,0.05,0.7,,,,,,
The Sims: Medieval,2011.0,Simulation,Electronic Arts,0.28,0.32,0.0,0.09,0.69,77.0,56.0,6.1,173.0,The Sims Studio,T
RIFT,2011.0,Role-Playing,Unknown,0.44,0.16,0.0,0.07,0.67,84.0,59.0,7.3,561.0,Trion Worlds,T
Mass Effect,2008.0,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.08,0.67,89.0,45.0,8.6,2386.0,"BioWare, Demiurge Studios",M
Command & Conquer: Red Alert 3,2008.0,Strategy,Electronic Arts,0.01,0.64,0.0,0.02,0.67,,,,,,
The Sims 3: High-End Loft Stuff,2010.0,Simulation,Electronic Arts,0.01,0.54,0.0,0.11,0.66,,,6.5,17.0,The Sims Studio,T
Napoleon: Total War,2010.0,Strategy,Sega,0.02,0.53,0.0,0.12,0.66,81.0,56.0,7.9,515.0,Creative Assembly,T
BioShock Infinite,2013.0,Shooter,Take-Two Interactive,0.29,0.3,0.0,0.07,0.66,94.0,68.0,8.5,7322.0,Irrational Games,M
Rocksmith 2014,2013.0,Misc,Ubisoft,0.36,0.24,0.0,0.06,0.65,,,,,,
Farming Simulator 17,2016.0,Simulation,Focus Home Interactive,0.03,0.58,0.0,0.04,0.65,64.0,5.0,8.0,20.0,Giants Software,E
Assassin's Creed IV: Black Flag,2013.0,Action,Ubisoft,0.22,0.38,0.0,0.05,0.64,84.0,10.0,7.7,1470.0,Ubisoft,M
Football Manager 2014,2013.0,Sports,Sega,0.0,0.6,0.0,0.03,0.64,85.0,41.0,5.5,275.0,Sports Interactive,E
Dragon Age II,2011.0,Action,Electronic Arts,0.23,0.33,0.0,0.08,0.63,82.0,45.0,4.5,4533.0,BioWare,M
Far Cry 4,2014.0,Shooter,Ubisoft,0.15,0.44,0.0,0.04,0.63,80.0,17.0,6.7,1064.0,Ubisoft Montreal,M
The Sims 3: Generations,2011.0,Simulation,Electronic Arts,0.4,0.23,0.0,0.0,0.63,70.0,22.0,3.6,81.0,The Sims Studio,T
Crysis 3,2013.0,Shooter,Electronic Arts,0.17,0.39,0.0,0.07,0.63,76.0,47.0,6.5,1223.0,Crytek,M
Tomb Raider III: Adventures of Lara Croft,1998.0,Action,Eidos Interactive,0.59,0.03,0.0,0.0,0.62,,,8.2,29.0,Core Design Ltd.,T
Total War: Shogun 2,2011.0,Strategy,Sega,0.19,0.31,0.0,0.09,0.6,90.0,62.0,8.3,1180.0,Creative Assembly,T
Dead Space,2008.0,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59,86.0,28.0,8.0,1093.0,EA Redwood Shores,M
Assassin's Creed: Brotherhood,2011.0,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59,88.0,24.0,8.2,1102.0,Ubisoft Montreal,M
Deus Ex: Human Revolution,2011.0,Shooter,Square Enix,0.25,0.25,0.0,0.08,0.58,90.0,52.0,8.5,3069.0,Nixxes Software,M
The Sims 3: World Adventures,2009.0,Simulation,Electronic Arts,0.02,0.18,0.0,0.38,0.57,81.0,31.0,8.0,72.0,The Sims Studio,T
Titanfall,2014.0,Shooter,Electronic Arts,0.22,0.3,0.0,0.04,0.56,86.0,29.0,6.2,1727.0,Respawn Entertainment,M
Assassin's Creed: Unity,2014.0,Action,Ubisoft,0.18,0.33,0.0,0.04,0.55,70.0,10.0,3.0,1463.0,"Ubisoft, Ubisoft Montreal",M
Assassin's Creed II,2010.0,Action,Ubisoft,0.01,0.45,0.0,0.09,0.55,86.0,22.0,6.9,1611.0,Ubisoft Montreal,M
Star Wars Battlefront (2015),2015.0,Shooter,Electronic Arts,0.13,0.38,0.0,0.04,0.55,,,,,,
Overwatch,2016.0,Shooter,Activision,0.25,0.24,0.0,0.04,0.53,91.0,62.0,6.8,4052.0,Blizzard Entertainment,T
StarCraft II: Legacy of the Void,2015.0,Strategy,Activision,0.19,0.29,0.0,0.04,0.53,88.0,62.0,8.3,833.0,Blizzard Entertainment,T
Batman: Arkham City,2011.0,Action,Warner Bros. Interactive Entertainment,0.16,0.28,0.0,0.09,0.53,91.0,27.0,8.6,1847.0,Rocksteady Studios,T
The Sims 2: Open for Business,2006.0,Simulation,Electronic Arts,0.46,0.05,0.0,0.0,0.52,78.0,29.0,8.6,35.0,Maxis,T
Dragon Age: Origins,2009.0,Role-Playing,Electronic Arts,0.0,0.46,0.0,0.05,0.51,91.0,67.0,8.6,3542.0,BioWare,M
Dishonored,2012.0,Action,Bethesda Softworks,0.26,0.19,0.0,0.06,0.51,,,,,,
Euro Truck Simulator,2008.0,Simulation,Rondomedia,0.0,0.42,0.0,0.07,0.49,,,7.6,35.0,SCS Software,
Medal of Honor,2010.0,Shooter,Electronic Arts,0.2,0.23,0.0,0.06,0.49,72.0,26.0,6.4,516.0,"Dice, Danger Close",M
Sniper: Art of Victory,2008.0,Shooter,City Interactive,0.0,0.45,0.0,0.03,0.49,36.0,7.0,3.6,16.0,City Interactive,M
Far Cry 2,2008.0,Action,Ubisoft,0.01,0.45,0.0,0.03,0.48,85.0,34.0,5.8,1345.0,Ubisoft Montreal,M
World of Warcraft: Warlords of Draenor,2014.0,Action,Activision Blizzard,0.08,0.36,0.0,0.03,0.47,87.0,49.0,5.9,1154.0,Blizzard Entertainment,T
"Warhammer 40,000: Dawn of War II",2009.0,Strategy,THQ,0.0,0.45,0.0,0.02,0.47,85.0,67.0,8.1,1502.0,Relic,M
FIFA 12,2011.0,Sports,Electronic Arts,0.04,0.33,0.0,0.1,0.47,,,,,,
Football Manager 2015,2014.0,Simulation,Sega,0.0,0.44,0.0,0.03,0.46,80.0,36.0,6.0,151.0,Sports Interactive,
The Sims 3: Ambitions,2010.0,Simulation,Electronic Arts,0.0,0.29,0.0,0.17,0.46,74.0,25.0,7.3,51.0,EA Redwood Shores,T
The Sims 3: Outdoor Living Stuff,2011.0,Simulation,Electronic Arts,0.0,0.38,0.0,0.08,0.46,,,5.6,17.0,The Sims Studio,T
Wolfenstein: The New Order,2014.0,Shooter,Bethesda Softworks,0.13,0.29,0.0,0.03,0.45,81.0,23.0,8.2,1647.0,MachineGames,M
Watch Dogs,2014.0,Action,Ubisoft,0.15,0.26,0.0,0.03,0.45,77.0,18.0,4.7,3288.0,Ubisoft Montreal,M
Max Payne 3,2012.0,Shooter,Take-Two Interactive,0.16,0.22,0.0,0.05,0.43,87.0,30.0,7.6,2202.0,Rockstar Studios,M
Microsoft Flight Simulator X,2006.0,Simulation,Microsoft Game Studios,0.02,0.36,0.0,0.05,0.43,80.0,28.0,7.6,95.0,Microsoft Game Studios,E
TERA,,Role-Playing,Unknown,0.25,0.12,0.0,0.05,0.42,77.0,41.0,6.8,742.0,Bluehole Studio,M
Tomb Raider: The Last Revelation,1998.0,Action,Eidos Interactive,0.41,0.0,0.0,0.0,0.41,,,8.6,50.0,Core Design Ltd.,T
Tom Clancy's The Division,2016.0,Shooter,Ubisoft,0.22,0.15,0.0,0.04,0.41,79.0,33.0,5.8,1188.0,Massive Entertainment,M
BioShock,2007.0,Shooter,Take-Two Interactive,0.01,0.39,0.0,0.02,0.41,96.0,44.0,8.5,3606.0,"Irrational Games, 2K Marin",M
Call of Duty: Advanced Warfare,2014.0,Shooter,Activision,0.15,0.23,0.0,0.03,0.41,78.0,18.0,4.5,1136.0,Sledgehammer Games,M
Duke Nukem Forever,2011.0,Shooter,Take-Two Interactive,0.18,0.17,0.0,0.06,0.41,54.0,48.0,5.7,1183.0,"Gearbox Software, 3D Realms",M
FIFA 14,2013.0,Sports,Electronic Arts,0.01,0.36,0.0,0.03,0.4,87.0,6.0,4.6,441.0,EA Canada,E
FIFA Soccer 13,2012.0,Action,Electronic Arts,0.02,0.31,0.0,0.07,0.4,86.0,7.0,6.6,286.0,Electronic Arts,E
Mafia II,2010.0,Action,Take-Two Interactive,0.17,0.17,0.0,0.05,0.4,77.0,46.0,7.9,1238.0,2K Czech,M
Mass Effect 2,2010.0,Role-Playing,Electronic Arts,0.01,0.32,0.0,0.06,0.39,94.0,55.0,8.8,3559.0,BioWare,M
Battlefield 1,2016.0,Shooter,Electronic Arts,0.11,0.24,0.0,0.03,0.38,88.0,54.0,7.6,1137.0,EA DICE,M
Saints Row: The Third,2011.0,Action,THQ,0.16,0.16,0.0,0.06,0.38,84.0,22.0,8.1,1263.0,Volition Inc.,M
Dawn of Discovery,2009.0,Simulation,Ubisoft,0.0,0.32,0.0,0.06,0.38,82.0,32.0,8.8,132.0,"Blue Byte, Related Designs",T
Age of Empires III,2005.0,Strategy,Microsoft Game Studios,0.0,0.33,0.0,0.05,0.38,81.0,52.0,7.7,519.0,Ensemble Studios,T
Need for Speed: Hot Pursuit,2010.0,Racing,Electronic Arts,0.12,0.2,0.0,0.05,0.37,86.0,14.0,6.7,556.0,Criterion Games,E10+
Rage,2011.0,Shooter,Bethesda Softworks,0.14,0.18,0.0,0.06,0.37,79.0,32.0,5.2,1618.0,id Software,M
Medieval II: Total War Gold Edition,2008.0,Strategy,Sega,0.0,0.34,0.0,0.03,0.37,,,8.0,9.0,Sega,T
Need for Speed: The Run,2011.0,Action,Electronic Arts,0.09,0.21,0.0,0.07,0.36,69.0,18.0,5.8,338.0,Black Box,T
Sid Meier's Civilization: Beyond Earth,2014.0,Strategy,Take-Two Interactive,0.11,0.22,0.0,0.03,0.36,81.0,78.0,5.5,1027.0,Firaxis Games,E10+
Left 4 Dead 2,2009.0,Shooter,Valve Software,0.0,0.32,0.0,0.04,0.36,89.0,55.0,8.5,2530.0,Valve Software,M
Middle-Earth: Shadow of Mordor,2014.0,Action,Warner Bros. Interactive Entertainment,0.12,0.2,0.0,0.03,0.35,84.0,17.0,8.0,1671.0,Monolith Productions,M
Football Manager 2016,2015.0,Simulation,Sega,0.0,0.33,0.0,0.02,0.35,81.0,34.0,6.9,97.0,Sega,E
Tomb Raider (2013),,Action,Square Enix,0.06,0.25,0.0,0.04,0.35,86.0,18.0,8.5,3552.0,"Crystal Dynamics, Nixxes Software",M
Company of Heroes 2,2013.0,Strategy,THQ,0.06,0.25,0.0,0.04,0.34,80.0,82.0,2.1,6157.0,Relic,M
The Sims 3: Town Life Stuff,2011.0,Simulation,Electronic Arts,0.11,0.17,0.0,0.05,0.34,,,6.3,14.0,The Sims Studio,T
Medal of Honor: Warfighter,2012.0,Action,Electronic Arts,0.14,0.15,0.0,0.04,0.33,55.0,30.0,5.4,599.0,Danger Close,M
The Witcher: Enhanced Edition,2008.0,Role-Playing,Atari,0.32,0.01,0.0,0.0,0.32,86.0,30.0,8.5,1660.0,CD Projekt Red Studio,M
Might & Magic Heroes VI,2011.0,Role-Playing,Ubisoft,0.13,0.14,0.0,0.05,0.32,,,,,,
Dead Space 2,2011.0,Shooter,Electronic Arts,0.13,0.15,0.0,0.04,0.32,87.0,28.0,8.3,974.0,Visceral Games,M
Batman: Arkham Asylum,2009.0,Action,Eidos Interactive,0.0,0.28,0.0,0.05,0.32,91.0,29.0,8.7,1736.0,Rocksteady Studios,T
World of Warcraft: Legion,2016.0,Role-Playing,Activision,0.13,0.16,0.0,0.03,0.32,88.0,62.0,7.5,535.0,Blizzard Entertainment,T
Fable III,2011.0,Role-Playing,Microsoft Game Studios,0.1,0.17,0.0,0.05,0.32,75.0,39.0,5.4,555.0,Lionhead Studios,M
Batman: Arkham Origins,2013.0,Action,Warner Bros. Interactive Entertainment,0.13,0.16,0.0,0.02,0.31,74.0,17.0,7.5,1170.0,Iron Galaxy Studios,T
The Settlers 7: Paths to a Kingdom,2010.0,Strategy,Ubisoft,0.0,0.27,0.0,0.05,0.31,79.0,33.0,5.2,213.0,Blue Byte,E10+
Kingdoms of Amalur: Reckoning,2012.0,Role-Playing,Electronic Arts,0.14,0.13,0.0,0.03,0.3,81.0,25.0,6.6,1097.0,Big Huge Games,M
1701 A.D.,2006.0,Simulation,Deep Silver,0.0,0.25,0.0,0.04,0.3,79.0,30.0,8.3,38.0,Related Designs,E10+
The Sims 2,2004.0,Simulation,Electronic Arts,0.02,0.24,0.0,0.04,0.29,90.0,61.0,8.8,676.0,Maxis,T
Need for Speed: Most Wanted,2005.0,Racing,Electronic Arts,0.02,0.23,0.0,0.04,0.29,82.0,19.0,8.5,525.0,Black Box,T
Borderlands: The Pre-Sequel,2014.0,Shooter,Take-Two Interactive,0.11,0.15,0.0,0.02,0.29,75.0,55.0,6.2,703.0,2K Australia,M
SimCity 4,2003.0,Simulation,Electronic Arts,0.01,0.24,0.0,0.03,0.29,84.0,36.0,8.7,268.0,Maxis,E
World of Tanks,2011.0,Shooter,Wargaming.net,0.0,0.23,0.0,0.05,0.29,80.0,38.0,3.7,1466.0,Wargaming.net,T
FIFA 15,2014.0,Sports,Electronic Arts,0.0,0.27,0.0,0.02,0.28,82.0,9.0,4.2,383.0,EA Sports,E
The Evil Within,2014.0,Action,Bethesda Softworks,0.1,0.16,0.0,0.02,0.27,68.0,18.0,5.9,721.0,Tango Gameworks,M
Mass Effect Trilogy,2012.0,Action,Electronic Arts,0.09,0.16,0.0,0.02,0.27,,,8.0,60.0,BioWare,M
RollerCoaster Tycoon 3,2004.0,Strategy,Atari,0.01,0.22,0.0,0.04,0.27,81.0,39.0,5.0,346.0,Frontier Developments,E
R.U.S.E.,2010.0,Strategy,Ubisoft,0.04,0.19,0.0,0.04,0.27,76.0,33.0,8.1,176.0,Eugen Systems,T
Tropico 4,2011.0,Strategy,Kalypso Media,0.1,0.13,0.0,0.04,0.27,78.0,46.0,7.7,359.0,Haemimont,T
Call of Duty: Black Ops 3,2015.0,Shooter,Activision,0.0,0.25,0.0,0.01,0.26,,,,,,
Zoo Tycoon 2: Ultimate Collection,2008.0,Strategy,Microsoft Game Studios,0.04,0.18,0.0,0.04,0.26,,,8.4,14.0,Blue Fang Games,E
The Elder Scrolls IV: Oblivion,2006.0,Role-Playing,Take-Two Interactive,0.01,0.2,0.0,0.04,0.25,94.0,54.0,8.1,2454.0,Bethesda Softworks,M
Silent Hunter 5: Battle of the Atlantic,2010.0,Simulation,Ubisoft,0.0,0.21,0.0,0.05,0.25,62.0,26.0,3.5,104.0,Ubisoft Romania,T
LEGO Star Wars III: The Clone Wars,2011.0,Action,LucasArts,0.1,0.13,0.0,0.03,0.25,76.0,14.0,7.5,44.0,Traveller's Tales,E10+
Anno 2205,2015.0,Strategy,Ubisoft,0.02,0.22,0.0,0.02,0.25,72.0,45.0,5.9,278.0,Blue Byte,E10+
